face_id,importance_e1,importance_e2,importance_e3,importance_ani,x_projection,y_projection,z_projection,normal_x,normal_y,normal_z
1,0.01904171223087041,0.039558385826498545,0.017201255295502912,0.0379910633956935,0.0,0.0,1.0,0.0,0.0,1.0
2,0.04465722787471775,0.017198515453267456,0.0192640118764498,0.04917535698035902,0.0,1.0,0.0,0.0,1.0,0.0
3,0.039547803545947745,0.04329498358638887,0.1713974101228254,0.06020916871265798,0.0,0.7071099877357483,0.7071099877357483,0.0,0.7071099877357483,-0.7071099877357483
4,0.036421020989774164,0.22256010899480397,0.028276409859038537,0.059717146143127564,0.7071099877357483,0.7071099877357483,0.0,-0.7071099877357483,0.7071099877357483,0.0
5,0.06092440911767394,0.046794443914275195,0.04688775127846954,0.0748759318735032,0.5773500204086304,0.5773500204086304,0.5773500204086304,-0.5773500204086304,0.5773500204086304,0.5773500204086304
6,0.043076815133842795,0.04726653716699846,0.04760161573839384,0.0665605892383477,0.5773500204086304,0.5773500204086304,0.5773500204086304,-0.5773500204086304,0.5773500204086304,-0.5773500204086304
7,0.018689346598197903,0.02889880150748556,0.04594315020043825,0.03723838472685185,1.0,0.0,0.0,1.0,0.0,0.0
8,0.12898846163139852,0.027767393674891092,0.034964324486451946,0.021039615988166102,0.7071099877357483,0.0,0.7071099877357483,-0.7071099877357483,0.0,0.7071099877357483
9,0.04798883892955911,0.04334409401292935,0.04554793916573747,0.052124267292192286,0.5773500204086304,0.5773500204086304,0.5773500204086304,0.5773500204086304,0.5773500204086304,-0.5773500204086304
10,0.1587498694572417,0.022218002398845537,0.021999607409778136,0.04943287247784021,0.7071099877357483,0.0,0.7071099877357483,0.7071099877357483,0.0,0.7071099877357483
11,0.026923687615207706,0.022521216103467023,0.0434300880523007,0.027259001038991162,1.0,0.0,0.0,1.0,0.0,0.0
12,0.030692587708406507,0.04313352691152383,0.04116668215099577,0.03942841334189174,0.5773500204086304,0.5773500204086304,0.5773500204086304,0.5773500204086304,0.5773500204086304,0.5773500204086304
13,0.03280606990390579,0.16351008861279373,0.024804351481918646,0.04940135579843354,0.7071099877357483,0.7071099877357483,0.0,0.7071099877357483,0.7071099877357483,0.0
14,0.06037062278592532,0.02399932123786211,0.03549041133037079,0.06509905685236332,0.5773500204086304,0.5773500204086304,0.5773500204086304,-0.5773500204086304,-0.5773500204086304,0.5773500204086304
15,0.05761437881037897,0.027892729322276454,0.03273247207643789,0.05888157773596445,0.5773500204086304,0.5773500204086304,0.5773500204086304,0.5773500204086304,-0.5773500204086304,0.5773500204086304
16,0.02258533749509807,0.021637272859303277,0.2181959300628412,0.05953835556770966,0.0,0.7071099877357483,0.7071099877357483,0.0,0.7071099877357483,0.7071099877357483
17,0.02684429476580254,0.02853654563434052,0.02837156243594909,0.03067059051462536,0.0,1.0,0.0,0.0,1.0,0.0
18,0.05291401214799989,0.046434207362781046,0.04118323062672693,0.06341544471369821,0.5773500204086304,0.5773500204086304,0.5773500204086304,0.5773500204086304,0.5773500204086304,0.5773500204086304
19,0.060853903088251504,0.04633690871646764,0.022637778594342985,0.06440975329698019,0.5773500204086304,0.5773500204086304,0.5773500204086304,0.5773500204086304,-0.5773500204086304,-0.5773500204086304
20,0.03030960016979976,0.03709691670280024,0.03290401775503021,0.033532054310603,0.0,0.0,1.0,0.0,0.0,1.0
