key,E1,E2,E3,G12,G23,G13,total_volume,total_area,relative_density,surface_area,average_face_area,num_faces,specific_stiffness_E1,specific_stiffness_E2,specific_stiffness_E3,anisotropy_index,avg_shear_modulus,shear_anisotropy
adjacency_matrix_10_1_11_12_13_14_15_17_18_19_20,0.204147799,0.258335893,0.204147798,0.123737436,0.123737435,0.139498145,3.2103040000000007,9.744340479373932,0.4012880000000001,802.576,0.9744340479373932,10,0.5087313824485157,0.6437668033930741,0.5087313799565398,1.265435608568259,0.12899100533333333,1.1273722055091895
adjacency_matrix_10_1_2_10_11_12_13_14_17_18_20,0.24600907,0.245724913,0.187722239,0.110286165,0.120336976,0.117114454,3.2290560000000004,10.426503241062164,0.40363200000000005,807.264,1.0426503241062164,10,0.609488519245253,0.6087845190668727,0.4650826470646529,1.3104950767181078,0.11591253166666667,1.0911339241871363
adjacency_matrix_10_1_2_10_12_14_16_17_18_19_20,0.249572586,0.190144122,0.278562796,0.120191788,0.141472366,0.131476823,3.4147200000000004,10.292528629302979,0.42684000000000005,853.6800000000001,1.029252862930298,10,0.5846982147877424,0.4454693140286758,0.6526164277012463,1.4650087158623815,0.1310469923333333,1.1770551745182458
adjacency_matrix_10_1_2_10_13_14_15_16_18_19_20,0.275655402,0.262962493,0.287412072,0.141153733,0.1493854,0.156324147,3.7262080000000006,10.70674216747284,0.4657760000000001,931.552,1.070674216747284,10,0.5918196772697605,0.564568575881969,0.6170607158805949,1.0929774384212276,0.14895442666666667,1.1074744087710382
adjacency_matrix_10_1_2_3_4_11_12_13_14_15_16,0.217745282,0.334334865,0.334334865,0.169950636,0.160862571,0.169950636,3.9800320000000005,11.254930317401886,0.49750400000000006,995.008,1.1254930317401886,10,0.4376754397954589,0.672024476185116,0.672024476185116,1.5354402259792703,0.166921281,1.0564958333284378
adjacency_matrix_10_1_2_3_4_11_12_13_18_19_20,0.203477503,0.316687055,0.256573378,0.134668969,0.134430829,0.150905886,3.6090880000000007,10.840716779232025,0.4511360000000001,902.272,1.0840716779232025,10,0.4510336195736983,0.7019769094020427,0.5687273416442048,1.5563738021691764,0.14000189466666665,1.1225541575734832
adjacency_matrix_10_1_2_3_4_11_12_14_16_17_19,0.195298079,0.262435478,0.334676872,0.148647002,0.144281813,0.14108806,3.6032000000000006,10.840716779232025,0.4504000000000001,900.8000000000001,1.0840716779232025,10,0.4336102997335701,0.5826720204262876,0.7430658792184723,1.7136721145116844,0.14467229166666665,1.0535760573928086
adjacency_matrix_10_1_2_3_4_5_10_11_18_19_20,0.264777672,0.250741558,0.260825206,0.131848267,0.133176701,0.143715401,3.5649280000000005,10.840716779232025,0.44561600000000007,891.2320000000001,1.0840716779232025,10,0.5941834943090014,0.5626852671358298,0.5853138262539943,1.0559784110458468,0.13624678966666667,1.0900059915084057
adjacency_matrix_10_1_2_3_4_5_10_12_16_18_20,0.279191968,0.265054277,0.350322117,0.158650276,0.1625912,0.170248369,3.9810560000000006,11.254930317401886,0.4976320000000001,995.264,1.1254930317401886,10,0.5610410263005594,0.5326310948652819,0.7039782751109253,1.3216995438258858,0.16382994833333334,1.0731047766976467
adjacency_matrix_10_1_2_3_4_5_10_13_14_18_20,0.278603239,0.328285389,0.287295662,0.154339368,0.16150732,0.171699083,3.9556480000000005,11.254930317401886,0.49445600000000006,988.912,1.1254930317401886,10,0.5634540565793518,0.6639324611289982,0.5810338270746032,1.1783258162336008,0.16251525700000002,1.112477556601113
adjacency_matrix_10_1_2_3_4_5_11_13_16_17_19,0.195582825,0.328018944,0.328018944,0.152059789,0.152520308,0.152059789,3.8084480000000007,11.388904929161072,0.4760560000000001,952.1120000000001,1.1388904929161072,10,0.4108399537029256,0.6890343657048749,0.6890343657048749,1.6771357300928647,0.15221329533333333,1.0030285389913305
adjacency_matrix_10_1_2_3_4_5_11_13_18_19_20,0.202072215,0.315553545,0.254880541,0.134162378,0.133336744,0.150400436,3.6065280000000004,10.840716779232025,0.45081600000000005,901.6320000000001,1.0840716779232025,10,0.44823656436328785,0.699960837681005,0.5653759870989494,1.5615879946681437,0.13929985266666667,1.127974416414428
adjacency_matrix_10_1_2_3_4_5_11_16_17_18_19,0.189001158,0.262702849,0.327509652,0.140929872,0.142163278,0.13836838,3.6278400000000004,10.840716779232025,0.45348000000000005,906.96,1.0840716779232025,10,0.41677947869806825,0.5793041567434065,0.7222141042603862,1.7328446844754253,0.14048717666666669,1.027426049217314
