key,E1,E2,E3,G12,G23,G13,num_faces,specific_stiffness_E1,specific_stiffness_E2,specific_stiffness_E3,normalized_E1,normalized_E2,normalized_E3,anisotropy_index,avg_shear_modulus,relative_density
adjacency_matrix_5_1_2_3_16_17,54.80400608,74.61617764,205.5251599,20.17431728,20.17431728,20.17431728,5,54.80400608,74.61617764,205.5251599,0.2740912969878803,0.373177918339974,0.97,0.6293144530143854,20.17431728,0.17200000000000004
adjacency_matrix_8_1_2_3_11_15_16_17_20,86.99521321,86.99521321,184.835182,19.50914319,19.50914319,19.50914319,8,86.99521321,86.99521321,184.835182,0.4350891937654876,0.4350891937654876,0.9244162678439533,0.4406473651622871,19.50914319,0.22278400000000004
adjacency_matrix_5_2_3_9_17_20,64.78854855,92.99182817,184.7576356,17.49091495,17.49091495,17.49091495,5,64.78854855,92.99182817,184.7576356,0.3240269931382314,0.4650800665043172,0.9240284350033808,0.5012623396440141,17.49091495,0.133696
adjacency_matrix_5_1_16_17_18_20,92.99182817,64.78854855,184.7576356,17.49091495,17.49091495,17.49091495,5,92.99182817,64.78854855,184.7576356,0.4650800665043172,0.3240269931382314,0.9240284350033808,0.5012623396440141,17.49091495,0.133696
adjacency_matrix_5_1_2_5_16_20,92.99182817,64.78854855,184.7576356,17.49091495,17.49091495,17.49091495,5,92.99182817,64.78854855,184.7576356,0.4650800665043172,0.3240269931382314,0.9240284350033808,0.5012623396440141,17.49091495,0.133696
adjacency_matrix_6_1_3_6_14_16_17,58.92132016,58.92132016,180.24182,20.449219,20.449219,20.449219,6,58.92132016,58.92132016,180.24182,0.2946832215024187,0.2946832215024187,0.9014434846814044,0.6109669691739708,20.449219,0.18563200000000002
adjacency_matrix_7_1_2_3_6_11_16_20,86.26340342,71.68292442,180.0978142,19.52449435,19.52449435,19.52449435,7,86.26340342,71.68292442,180.0978142,0.4314291931772691,0.3585078378664759,0.9007232684176852,0.4803278492746359,19.52449435,0.20585600000000004
adjacency_matrix_4_1_16_17_18,68.22796181,64.10690762,178.7521171,17.58140378,17.58140378,17.58140378,4,68.22796181,64.10690762,178.7521171,0.3412285320172431,0.3206179020891027,0.8939930329864758,0.5582248284419019,17.58140378,0.11602400000000002
adjacency_matrix_6_2_3_5_11_16_17,54.93129816,86.44616596,177.8102373,19.90162459,19.90162459,19.90162459,6,54.93129816,86.44616596,177.8102373,0.2747279229172431,0.4323432435398699,0.8892824091752926,0.5387130346989629,19.90162459,0.18782400000000002
adjacency_matrix_9_1_2_3_12_16_17_18_19_20,77.11724127,77.11724127,177.4256193,20.08931564,20.08931564,20.08931564,9,77.11724127,77.11724127,177.4256193,0.3856864888484004,0.3856864888484004,0.8873588190218464,0.4816399798658947,20.08931564,0.23862400000000003
adjacency_matrix_7_1_2_3_11_17_18_20,101.2679309,101.2679309,176.5416618,17.4490599,17.4490599,17.4490599,7,101.2679309,101.2679309,176.5416618,0.5064713423165149,0.5064713423165149,0.8829378820322497,0.3311260445928158,17.4490599,0.16905600000000004
adjacency_matrix_8_1_3_7_14_16_17_19_20,89.10914089,74.58378073,173.9408521,20.11812268,20.11812268,20.11812268,8,89.10914089,74.58378073,173.9408521,0.4456615810961508,0.3730158916613523,0.8699304514650195,0.444340117590942,20.11812268,0.22094400000000003
adjacency_matrix_7_1_2_9_16_17_18_20,85.43639998,84.41314119,173.8223995,17.66893788,17.66893788,17.66893788,7,85.43639998,84.41314119,173.8223995,0.427293100550169,0.4221754759645513,0.869338034430429,0.4207785895514804,17.66893788,0.17016000000000003
adjacency_matrix_3_3_19_20,61.87134667,32.71407415,173.7788975,18.47199091,18.47199091,18.47199091,3,61.87134667,32.71407415,173.7788975,0.3094371902377373,0.1636129118087126,0.8691204678608582,0.6884808746473492,18.47199091,0.09722400000000002
adjacency_matrix_5_3_14_15_16_20,45.44345656,32.72118369,173.7741507,20.54411239,20.54411239,20.54411239,5,45.44345656,32.72118369,173.7741507,0.2272763770217945,0.1636484687538881,0.8690967276881664,0.7402026691332811,20.54411239,0.17089600000000002
adjacency_matrix_8_1_2_3_5_15_16_19_20,74.66129984,61.48312613,173.0192707,20.28189723,20.28189723,20.28189723,8,74.66129984,61.48312613,173.0192707,0.3734035880164368,0.3074955826995839,0.8653213460496748,0.5325756280788083,20.28189723,0.22132800000000002
adjacency_matrix_6_1_3_12_17_19_20,87.54163597,67.71727387,172.5541387,18.03164927,18.03164927,18.03164927,6,87.54163597,67.71727387,172.5541387,0.4378220181282444,0.3386744282236931,0.8629950811966189,0.470564846522771,18.03164927,0.15175200000000003
adjacency_matrix_8_1_2_3_5_9_16_17_19,61.2634534,74.12777075,171.9986277,20.21346328,20.21346328,20.21346328,8,61.2634534,74.12777075,171.9986277,0.3063969333893367,0.3707352487704811,0.8602168038156045,0.5323131911702266,20.21346328,0.22240000000000004
adjacency_matrix_7_2_3_9_11_15_16_20,74.97969975,74.97969975,170.6531073,20.24269491,20.24269491,20.24269491,7,74.97969975,74.97969975,170.6531073,0.3749960016105331,0.3749960016105331,0.8534874521141741,0.4761910910378281,20.24269491,0.20256000000000005
adjacency_matrix_3_2_16_19,28.66725172,58.02199435,169.7794406,17.61001033,17.61001033,17.61001033,3,28.66725172,58.02199435,169.7794406,0.1433735372108192,0.2901854229780233,0.8491179825066318,0.7097860758769287,17.61001033,0.09796800000000001
adjacency_matrix_7_3_7_15_16_17_19_20,72.49856895,74.02911626,169.6776091,20.38600292,20.38600292,20.38600292,7,72.49856895,74.02911626,169.6776091,0.3625871211725617,0.3702418480311573,0.8486086925859557,0.4849913804008055,20.38600292,0.20401600000000003
adjacency_matrix_7_1_3_6_9_14_16_20,70.78903793,44.43289266,168.4819109,20.36368478,20.36368478,20.36368478,7,70.78903793,44.43289266,168.4819109,0.3540372430153186,0.2222222433944863,0.8426286467118335,0.6018724729053198,20.36368478,0.20510400000000004
adjacency_matrix_7_2_3_5_11_12_16_17,57.20221009,86.54731502,168.2314371,20.06846048,20.06846048,20.06846048,7,57.20221009,86.54731502,168.2314371,0.2860854356386735,0.4328491203731079,0.8413759519981794,0.5041902014020752,20.06846048,0.20473600000000003
adjacency_matrix_7_1_3_6_7_14_16_20,86.54731502,57.20221009,168.2314371,20.06846048,20.06846048,20.06846048,7,86.54731502,57.20221009,168.2314371,0.4328491203731079,0.2860854356386735,0.8413759519981794,0.504190201402075,20.06846048,0.20473600000000003
adjacency_matrix_7_1_3_7_9_12_16_17,70.90009313,71.13824724,167.8996116,19.72055424,19.72055424,19.72055424,7,70.90009313,71.13824724,167.8996116,0.3545926634304031,0.355783743673654,0.8397163929955785,0.4951808890100827,19.72055424,0.20584000000000002
adjacency_matrix_6_2_5_14_16_17_20,65.05340583,85.24478646,167.8156854,16.94355861,16.94355861,16.94355861,6,65.05340583,85.24478646,167.8156854,0.3253516239560208,0.4263347837778413,0.8392966528587776,0.4735224232537263,16.94355861,0.15322400000000003
adjacency_matrix_9_1_3_5_6_9_14_16_17_20,79.90116386,65.65868199,167.7889743,21.20261445,21.20261445,21.20261445,9,79.90116386,65.65868199,167.7889743,0.3996097219838231,0.3283787918511573,0.8391630626239271,0.486079964272037,21.20261445,0.23716800000000005
adjacency_matrix_9_1_2_3_9_14_15_16_19_20,79.90116386,65.65868199,167.7889743,21.20261445,21.20261445,21.20261445,9,79.90116386,65.65868199,167.7889743,0.3996097219838231,0.3283787918511573,0.8391630626239271,0.486079964272037,21.20261445,0.23716800000000005
adjacency_matrix_9_1_2_3_5_14_15_16_19_20,79.43914871,65.98293783,167.6090194,21.32439375,21.32439375,21.32439375,9,79.43914871,65.98293783,167.6090194,0.3972990454338881,0.330000492710247,0.8382630541123536,0.4856588774386927,21.32439375,0.23716800000000005
adjacency_matrix_4_3_6_14_16,21.76239641,21.76239641,167.5309642,21.37226482,21.37226482,21.37226482,4,21.76239641,21.76239641,167.5309642,0.1088402816552145,0.1088402816552145,0.837872676610143,0.8557785021761457,21.37226482,0.15318400000000001
adjacency_matrix_4_3_5_14_16,16.37343482,17.2852992,167.3988511,20.71256644,20.71256644,20.71256644,4,16.37343482,17.2852992,167.3988511,0.0818884659528218,0.0864489736322496,0.8372119393115734,0.8905157037223496,20.71256644,0.15321600000000002
adjacency_matrix_4_3_7_16_18,42.60695401,42.60695401,167.3755443,20.68843663,20.68843663,20.68843663,4,42.60695401,42.60695401,167.3755443,0.2130901757119115,0.2130901757119115,0.8370953750036411,0.7013758552901317,20.68843663,0.15286400000000003
adjacency_matrix_6_1_2_9_11_16_17,81.46909206,104.0238211,167.2659077,17.14274991,17.14274991,17.14274991,6,81.46909206,104.0238211,167.2659077,0.4074514019021585,0.5202543770488947,0.83654704943329,0.3614086623939138,17.14274991,0.15286400000000003
adjacency_matrix_9_1_2_3_6_9_11_15_16_20,86.98093149,75.59963493,166.6753696,20.1394827,20.1394827,20.1394827,9,86.98093149,75.59963493,166.6753696,0.4350177665936801,0.3780964836681144,0.833593591003381,0.4241682974803358,20.1394827,0.23788800000000004
