key,E1,E2,E3,G12,G23,G13
adjacency_matrix_12_1_6_8_9_10_11_12_13_14_17_18_20,141.175701129789,105.807795167549,89.1853304854084,22.5999693050142,22.5999693050142,22.5999693050142
adjacency_matrix_12_1_7_8_11_12_14_15_16_17_18_19_20,134.097257865403,94.1579719893066,124.270202705641,22.1686180402194,22.1686180402194,22.1686180402194
adjacency_matrix_12_1_7_8_9_10_11_13_15_16_18_19_20,142.084102341578,102.391371180596,103.792571254754,22.9460576476772,22.9460576476772,22.9460576476772
adjacency_matrix_12_1_7_8_9_11_12_13_15_16_17_18_20,124.295878467809,115.719084082468,116.046434221914,22.0295154915107,22.0295154915107,22.0295154915107
adjacency_matrix_12_1_7_8_9_11_12_14_15_16_17_19_20,133.455915987537,93.9465364279824,123.926740072769,22.1191898277134,22.1191898277134,22.1191898277134
adjacency_matrix_12_1_7_8_9_12_13_14_15_16_17_18_19,111.206447094756,111.083355370081,111.206447094752,23.6445005016395,23.6445005016395,23.6445005016395
adjacency_matrix_12_1_7_8_9_12_13_14_15_16_17_18_20,117.497672879085,109.187654229783,117.497672879084,22.8252791243676,22.8252791243676,22.8252791243676
adjacency_matrix_12_2_3_4_5_11_12_13_15_17_18_19_20,80.4221547869303,143.168161354427,115.329514450833,22.7261181592802,22.7261181592802,22.7261181592802
adjacency_matrix_12_2_3_4_5_6_10_11_12_15_16_18_20,104.525706233048,103.939096975964,128.085666625444,23.627066576229,23.627066576229,23.627066576229
adjacency_matrix_12_2_3_4_5_6_11_14_15_17_18_19_20,83.977805694081,123.834644684658,122.269549754524,21.8343511741286,21.8343511741286,21.8343511741286
adjacency_matrix_12_2_3_4_5_6_7_10_11_13_14_15_20,109.877925618077,134.623753495739,102.411586716027,23.0698093838536,23.0698093838536,23.0698093838536
adjacency_matrix_12_2_3_4_5_6_7_11_13_14_15_17_20,87.9129548016966,148.916917242943,113.350193396875,21.8187721661693,21.8187721661693,21.8187721661693
adjacency_matrix_12_2_3_4_5_6_7_11_14_15_18_19_20,95.3905436007574,123.383507267001,114.361047199731,21.9429580370786,21.9429580370786,21.9429580370786
adjacency_matrix_12_2_3_4_5_6_7_12_13_14_15_18_19,76.7299366222903,137.33378463192,101.453288508361,24.3084706509409,24.3084706509409,24.3084706509409
adjacency_matrix_12_2_3_4_5_6_7_12_13_15_16_17_19,71.567162928231,133.732090864103,126.743853327731,23.5778201560504,23.5778201560504,23.5778201560504
adjacency_matrix_12_2_3_4_5_6_7_13_14_15_16_17_20,78.429409258198,132.560718789188,132.560718789187,22.9428744340916,22.9428744340916,22.9428744340916
adjacency_matrix_12_2_3_4_5_6_7_8_10_11_12_16_20,128.291632441099,106.676106637094,121.50132876294,23.7070684131435,23.7070684131435,23.7070684131435
adjacency_matrix_12_2_3_4_5_6_7_8_10_12_13_17_19,115.940207803987,129.16838946335,101.095492699577,24.0740196596278,24.0740196596278,24.0740196596278
adjacency_matrix_12_2_3_4_5_6_7_8_10_14_15_17_19,121.067171897425,111.317629031966,103.561622736797,23.6071685531167,23.6071685531167,23.6071685531167
adjacency_matrix_12_2_3_4_5_6_7_8_12_13_14_17_19,97.1045822212031,135.980176774852,103.479004066997,23.5289802027472,23.5289802027472,23.5289802027472
adjacency_matrix_12_2_3_4_5_6_7_8_15_16_18_19_20,104.56974176309,105.196970077115,129.189792224944,23.7983853728309,23.7983853728309,23.7983853728309
adjacency_matrix_12_2_3_4_5_6_7_8_9_10_11_15_18,130.399993931663,113.36406348745,97.575890751356,24.0585763015539,24.0585763015539,24.0585763015539
adjacency_matrix_12_2_3_4_5_6_7_8_9_10_12_16_18,117.93552833954,103.540652533078,117.935528339538,24.839698982079,24.839698982079,24.839698982079
