key,E1,E2,E3,G12,G23,G13
adjacency_matrix_12_1_4_5_7_10_11_12_13_14_15_17_19,115.017753428665,144.010548192627,81.0262751250635,23.0774369676368,23.0774369676368,23.0774369676368
adjacency_matrix_12_1_4_5_7_10_11_12_14_15_16_17_20,124.342366658784,116.000923587338,116.000923587339,22.1676949340148,22.1676949340148,22.1676949340148
adjacency_matrix_12_1_4_5_7_11_12_13_14_16_17_18_20,94.7839334085971,140.237078768348,112.309249865292,21.7718089909683,21.7718089909683,21.7718089909683
adjacency_matrix_12_1_4_5_7_8_10_11_12_13_15_16_20,135.518152914913,121.962399030237,100.310232490057,23.6704079426743,23.6704079426743,23.6704079426743
adjacency_matrix_12_1_4_5_7_8_11_12_13_15_16_19_20,117.98170333006,128.161643328521,103.511385689258,23.36215337953,23.36215337953,23.36215337953
adjacency_matrix_12_1_4_5_7_8_11_13_14_15_18_19_20,121.296261923884,134.73895513004,79.023680530452,22.3786457679918,22.3786457679918,22.3786457679918
adjacency_matrix_12_1_4_5_7_8_9_10_11_14_15_16_18,136.12136200175,105.307633216276,96.4051173751018,23.5696988228507,23.5696988228507,23.5696988228507
adjacency_matrix_12_1_4_5_7_8_9_10_12_13_14_15_20,132.808573739815,119.630971772451,80.357486143751,23.5360214797961,23.5360214797961,23.5360214797961
adjacency_matrix_12_1_4_5_7_8_9_10_12_14_15_17_19,135.882968402138,106.710268805671,82.0157358960668,23.4993691497948,23.4993691497948,23.4993691497948
adjacency_matrix_12_1_4_5_7_8_9_10_14_15_16_17_19,128.607666583138,104.249070958434,104.395103248826,23.7300598267824,23.7300598267824,23.7300598267824
adjacency_matrix_12_1_4_5_7_8_9_11_12_14_16_17_20,123.88757394573,115.245863603007,115.688874059197,21.8678419993154,21.8678419993154,21.8678419993154
adjacency_matrix_12_1_4_5_7_8_9_11_13_14_16_18_20,118.134155768754,127.482573691372,102.558651699495,23.1241931314624,23.1241931314624,23.1241931314624
adjacency_matrix_12_1_4_5_7_8_9_11_14_15_16_17_18,117.226938885609,117.560921330357,108.119509272479,22.43235549257,22.43235549257,22.43235549257
